codiabs,nom,casos des de l'1 juny,casos ultims 14 dies,homes(des de juny),dones(des de juny),poblacio,casos/100000 total,casos/100000 ultims 14 dies,
236,Solsonès,74.00,13.00,33.00,41.00,12966.00,570.70,100.30,
402,Barcelona 8K,259.00,26.00,116.00,143.00,17800.00,1455.10,146.10,
156,Mataró-5,215.00,29.00,96.00,119.00,21720.00,989.90,133.50,
157,Mataró-6,252.00,41.00,121.00,131.00,15649.00,1610.30,262.00,
158,Mataró-7,140.00,21.00,67.00,73.00,14034.00,997.60,149.60,
214,Sant Joan Despí-2,225.00,31.00,112.00,113.00,13819.00,1628.20,224.30,
111,Cornellà de Llobregat-4,356.00,23.00,164.00,192.00,17057.00,2087.10,134.80,
202,Sant Boi de Llobregat-1,563.00,70.00,252.00,311.00,38865.00,1448.60,180.10,
229,Santa Margarida de Montbui,143.00,9.00,56.00,87.00,10338.00,1383.20,87.10,
269,Vilanova del Camí,149.00,44.00,68.00,81.00,12635.00,1179.30,348.20,
131,Anoia rural,91.00,8.00,36.00,55.00,10750.00,846.50,74.40,
383,Montcada i Reixac 1,397.00,31.00,183.00,214.00,18936.00,2096.50,163.70,
32,Barcelona-3A,454.00,61.00,243.00,211.00,24697.00,1838.30,247.00,
183,El Prat de Llobregat-2,326.00,59.00,160.00,166.00,30140.00,1081.60,195.80,
226,Santa Coloma de Gramanet-5,531.00,68.00,245.00,286.00,21182.00,2506.80,321.00,
274,Badalona-3,193.00,44.00,92.00,101.00,20573.00,938.10,213.90,
11,Artés,58.00,2.00,25.00,33.00,11157.00,519.90,17.90,
185,Lluçanès,65.00,27.00,23.00,42.00,5917.00,1098.50,456.30,
79,Barcelona-10I,198.00,26.00,90.00,108.00,12727.00,1555.70,204.30,
19,Barcelona-1D,824.00,170.00,501.00,323.00,29702.00,2774.20,572.40,
43,Barcelona-5B,469.00,49.00,204.00,265.00,35168.00,1333.60,139.30,
49,Barcelona-6C,211.00,41.00,81.00,130.00,21275.00,991.80,192.70,
101,Celrà,96.00,13.00,45.00,51.00,10082.00,952.20,128.90,
124,Girona-1,232.00,49.00,96.00,136.00,22722.00,1021.00,215.70,
217,Sant Quirze de Basora,111.00,34.00,61.00,50.00,4663.00,2380.40,729.10,
212,Sant Hipòlit de Voltregà,62.00,12.00,33.00,29.00,6972.00,889.30,172.10,
254,La Vall de Ges,247.00,47.00,127.00,120.00,18778.00,1315.40,250.30,
377,Rubí 3,131.00,43.00,59.00,72.00,9820.00,1334.00,437.90,
347,La Vall d'en Bas,52.00,6.00,30.00,22.00,6374.00,815.80,94.10,
127,Girona-4,239.00,52.00,114.00,125.00,15426.00,1549.30,337.10,
341,Badalona-7A,347.00,54.00,172.00,175.00,19618.00,1768.80,275.30,
74,Barcelona-10D,639.00,65.00,339.00,300.00,27921.00,2288.60,232.80,
241,Tarragona-3,208.00,47.00,93.00,115.00,30846.00,674.30,152.40,
320,Barberà del Vallès,272.00,34.00,122.00,150.00,32951.00,825.50,103.20,
197,Sabadell-6,584.00,72.00,270.00,314.00,30823.00,1894.70,233.60,
267,Vilafant,133.00,29.00,59.00,74.00,14374.00,925.30,201.80,
133,La Jonquera,57.00,22.00,27.00,30.00,7086.00,804.40,310.50,
119,Figueres,733.00,81.00,327.00,406.00,49512.00,1480.40,163.60,
177,Perelada,47.00,4.00,19.00,28.00,7335.00,640.80,54.50,
134,Llançà,31.00,2.00,12.00,19.00,6726.00,460.90,29.70,
334,Almacelles,252.00,5.00,125.00,127.00,8930.00,2821.90,56.00,
255,Tortosa-1 Est,341.00,133.00,170.00,171.00,23056.00,1479.00,576.90,
178,L'Ametlla de Mar-El Perelló,25.00,7.00,14.00,11.00,9177.00,272.40,76.30,
246,Terra Alta,68.00,27.00,38.00,30.00,10967.00,620.00,246.20,
329,Lleida rural-2 Sud,233.00,11.00,117.00,116.00,7478.00,3115.80,147.10,
140,Lleida 6 (Bordeta-Magraners),377.00,30.00,174.00,203.00,16759.00,2249.50,179.00,
